material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,elastic_modulus_GPa,MQI
mp-121959,Ta3Au3H2,3,hexagonal,185,Chalcogenide,-0.6329,0.0175,1.94,0,26.87,13.47,0.2918,4.343,2,96.38,1142.0,1,34.801092000000004,19.143455200000002
mp-23248,Al3Rh4W3,3,hexagonal,171,Alloy,-1.2275,0.2124,0.0,1,50.3,33.94,0.2326,6.757,4,365.02,1244.0,0,83.668888,47.49853279999999
mp-984775,Ne4Cd4,2,tetragonal,81,Nitride,-0.4655,0.0534,1.83,0,461.87,233.17,0.2888,1.754,32,820.52,1130.0,0,601.0189919999999,359.90979519999996
mp-965909,Al4Rh,2,cubic,202,Nitride,-0.6142,0.0501,1.264,0,187.79,148.0,0.19,3.36,2,87.85,306.0,0,352.24,210.0
mp-55610,SbCu2Re2,3,trigonal,147,Ceramic,-3.2233,0.0202,2.669,0,89.35,42.88,0.2737,2.55,8,216.28,2136.0,1,109.23251200000001,64.5195072
mp-547578,Fe4Ba2ScC3,4,tetragonal,97,Silicate,-3.4612,0.0452,7.747,0,113.02,46.53,0.3288,4.042,6,281.56,1362.0,1,123.658128,72.5780768
mp-720256,Y3Ge2,2,triclinic,1,Ceramic,-3.889,0.0229,1.27,0,291.31,132.2,0.3083,5.304,12,492.65,1930.0,1,345.91452,205.427112
mp-755196,W3In,2,cubic,227,Carbide,-0.5275,0.0052,0.979,0,389.79,260.14,0.2393,4.562,8,647.31,2371.0,1,644.783004,385.0450024
mp-211792,Y3Sb3,2,monoclinic,13,Halide,-3.3535,0.0078,2.611,0,15.74,7.31,0.2922,1.155,2,20.23,877.0,1,18.891963999999998,10.873178399999999
mp-572204,Bi4Pb2,2,cubic,199,Oxide,-4.1159,0.0174,0.5,0,66.07,33.98,0.2829,3.144,4,105.21,2167.0,1,87.18588399999999,51.053930399999985
mp-509931,In3Pd3Nb,3,cubic,227,Semiconductor,-1.3977,0.0947,1.544,0,89.68,64.02,0.1882,2.47,12,352.86,2053.0,0,152.137128,90.29427679999999
mp-656283,NAg2Li3,3,orthorhombic,55,Phosphide,-1.3019,0.0749,0.257,0,96.75,52.74,0.2566,1.801,4,71.54,1899.0,0,132.546168,78.8073008
mp-57546,B3Ne3V4,3,cubic,223,Metal,-1.4629,0.0175,0.0,1,195.3,103.35,0.2838,11.778,4,928.75,200.0,1,265.36146,154.50567600000002
mp-686841,Nb4OsSr2,3,cubic,208,Carbide,-0.6808,0.094,0.191,0,409.66,160.48,0.317,2.889,24,1029.59,2089.0,0,422.70431999999994,252.46699199999995
mp-518272,Ag,1,orthorhombic,55,Ceramic,-2.5525,0.0019,6.769,0,140.63,61.11,0.3179,5.433,6,383.88,1415.0,1,161.07373800000002,94.47104280000002
mp-324061,Ti,1,tetragonal,94,Perovskite,-4.0201,0.0051,0.44,0,33.06,13.54,0.3278,5.015,4,382.62,1012.0,1,35.956824,19.568094399999996
mp-34702,Ga3CoSi2,3,hexagonal,190,Metal,-0.0497,0.0172,0.0,1,107.49,47.92,0.3183,8.701,4,355.53,1351.0,1,126.34587200000001,72.3271232
mp-937487,SeZrBi4,3,trigonal,157,Ceramic,-1.3959,0.0345,7.193,0,164.53,84.99,0.2816,1.437,2,32.07,1699.0,1,217.846368,130.1330208
mp-678759,Mn3Au4,2,cubic,229,Oxide,-4.8136,0.0198,4.075,0,156.44,71.41,0.3011,5.254,16,1202.52,2637.0,1,185.82310199999998,109.39226119999998
mp-213568,S2Nb,2,monoclinic,12,Semiconductor,-0.653,0.088,1.633,0,63.92,30.99,0.2967,4.282,16,1016.08,275.0,0,80.36946599999999,46.50887959999999
mp-462786,MoCa4NbTi2,4,tetragonal,118,Ceramic,-1.9731,0.1816,0.5,0,239.84,92.37,0.3388,4.63,6,460.96,1607.0,0,247.329912,146.5459472
mp-569668,Ba2OsFLi2,4,triclinic,2,Halide,-4.2287,0.0032,2.354,0,107.71,50.03,0.3075,5.14,12,693.79,629.0,1,130.82845,76.44107
mp-550449,Ir3Ta2Ce2,3,cubic,196,Semiconductor,-0.8098,0.0421,1.591,0,114.74,102.55,0.1722,5.389,4,239.26,1825.0,1,240.41821999999996,142.09533199999998
mp-68620,In2Ne2,2,orthorhombic,18,Boride,-1.2057,0.0819,0.645,0,184.97,100.8,0.2588,8.783,32,3539.13,1087.0,0,253.77407999999997,148.75124799999998
mp-850742,HfTi,2,tetragonal,126,Metal,-0.0396,0.0596,0.0,1,165.52,64.47,0.3326,13.501,6,652.02,864.0,0,171.825444,97.6948664
mp-497661,Si4AsPt3,3,monoclinic,9,Halide,-3.2898,0.0002,6.15,0,52.89,11.31,0.4008,3.269,2,52.04,1292.0,1,31.686096000000003,17.7040576
mp-403083,WTa4BaH3,4,orthorhombic,45,Phosphide,-1.5773,0.0156,2.256,0,47.45,15.38,0.3528,5.777,12,899.77,1567.0,1,41.612128000000006,22.656476800000004
mp-567830,W4Fe3,2,orthorhombic,46,Oxide,-3.1636,0.0238,2.957,0,33.41,14.31,0.3153,1.952,6,181.51,2929.0,1,37.643886,21.805531600000002
mp-932884,V3O,2,tetragonal,125,Silicate,-3.8876,0.0017,3.835,0,16.21,6.83,0.3108,1.66,4,79.14,200.0,1,17.905528,10.0793168
mp-842151,Sr3HfPt3,3,cubic,206,Halide,-5.941,0.0152,7.298,0,53.27,13.02,0.3924,3.105,24,1002.72,1841.0,1,36.258096,20.5128576
mp-208140,Se4Os,2,cubic,220,Metal,-1.4771,0.0842,0.0,1,106.08,59.96,0.2554,0.5,12,94.39,589.0,0,150.547568,90.1285408
mp-596805,W3B2Ge3,3,monoclinic,6,Perovskite,-1.9961,0.0102,4.085,0,102.77,18.01,0.4141,7.637,4,346.54,1140.0,1,50.935882,27.5067292
mp-564486,Ge2Ti3Pt2Zn,4,monoclinic,3,Intermetallic,-1.3666,0.1113,0.0,1,160.57,94.03,0.2301,4.391,6,356.65,1316.0,0,231.332606,137.04316359999999
mp-496575,ReCd2Sn4,3,hexagonal,191,Semiconductor,-0.9346,0.0333,1.297,0,31.42,20.97,0.2221,4.099,8,378.7,1119.0,1,51.254873999999994,29.113324399999993
mp-783153,Sc,1,hexagonal,179,Oxide,-4.0565,0.0265,5.427,0,268.21,118.09,0.2976,3.717,12,394.96,2482.0,1,306.467168,182.39350080000003
mp-175768,He2Ti3Ag3,3,cubic,225,Nitride,-1.7608,0.1262,4.36,0,316.81,112.15,0.3451,8.536,8,1067.15,766.0,0,301.70593,177.609158
mp-781199,Sb3Os3,2,monoclinic,12,Intermetallic,-1.9517,0.1383,0.0,1,101.07,46.28,0.2913,10.238,12,1979.03,1642.0,0,119.52272800000001,67.6184368
mp-645823,Co3,1,cubic,217,Oxide,-3.4022,0.0129,5.499,0,133.92,79.46,0.2564,4.737,4,172.22,2198.0,1,199.66708799999998,117.90545279999998
mp-473959,W3Cu,2,orthorhombic,53,Halide,-3.2928,0.0297,5.038,0,101.52,58.4,0.2775,4.433,6,442.63,1260.0,1,149.21200000000002,87.754
mp-789178,Pb4Si3Nb2,3,monoclinic,11,Boride,-1.6892,0.0339,1.37,0,319.86,116.4,0.3484,2.962,4,158.77,1083.0,1,313.90752000000003,187.159712
mp-75452,K3Mo2,2,tetragonal,100,Metal,-0.3719,0.0399,0.0,1,185.56,53.74,0.3617,9.341,32,3952.47,1427.0,1,146.355516,84.0769096
mp-796644,CSi2,2,monoclinic,6,Metal,-0.377,0.2404,0.0,1,48.42,24.97,0.282,6.837,4,490.9,576.0,0,64.02308,35.679047999999995
mp-46003,Re3Pd2,2,orthorhombic,43,Oxide,-2.2257,0.0058,8.345,0,283.79,176.58,0.2511,4.854,16,844.41,1892.0,1,441.83847600000007,263.16148560000005
mp-217584,Ni3Ca4Pd4V4,4,orthorhombic,33,Metal,-1.1193,0.0611,0.0,1,157.99,73.4,0.3092,7.689,12,461.46,3254.0,0,192.19056,112.238736
mp-825627,Cu4Nb4,2,cubic,212,Silicate,-1.5803,0.0698,6.012,0,78.31,37.1,0.2868,4.088,4,200.93,1389.0,0,95.48056,55.653135999999996
mp-290375,Ar2Al4,2,orthorhombic,61,Oxide,-4.9327,0.0257,2.839,0,170.14,79.73,0.299,2.092,6,151.2,1980.0,1,207.13854,123.446324
mp-44817,Pt3Be3,2,orthorhombic,73,Ceramic,-3.3041,0.0045,2.116,0,187.95,117.07,0.2562,6.749,8,378.25,2200.0,1,294.126668,173.77640079999998
mp-175122,C2Be,2,trigonal,143,Metal,-0.0652,0.0008,0.0,1,297.25,226.16,0.2133,10.989,4,759.38,1668.0,1,548.799856,324.8843136
mp-648457,F2Mn4,2,cubic,214,Semiconductor,-1.1681,0.0312,1.447,0,66.69,28.33,0.3095,4.134,12,551.78,1535.0,1,74.19626999999998,42.86416199999999
mp-274536,K3CuH3,3,hexagonal,185,Chalcogenide,-0.2996,0.0374,2.328,0,56.31,30.62,0.2874,2.989,12,430.74,2181.0,1,78.84037599999999,46.108625599999996
mp-491007,CdCo3Sr3F3,4,tetragonal,94,Semiconductor,-2.4122,0.0108,0.499,0,109.2,51.96,0.2989,0.5,12,49.1,1152.0,1,134.981688,80.7890128
mp-200754,ClSe4,2,tetragonal,114,Chalcogenide,-0.6608,0.0929,0.559,0,80.66,51.23,0.2589,3.214,8,334.04,799.0,0,128.986894,76.1065364
mp-675888,Cr2Ce2,2,cubic,207,Oxide,-2.7372,0.0308,0.837,0,135.46,92.15,0.2243,5.362,24,1929.88,2571.0,1,225.63849,133.238294
mp-82807,Be4Li3,2,tetragonal,123,Oxide,-3.4336,0.0227,4.84,0,186.42,87.95,0.2951,4.822,8,410.2,2635.0,1,227.80809,134.756054
mp-601207,Ag4Zn4N3,3,cubic,195,Ceramic,-3.023,0.0025,5.192,0,251.3,115.23,0.2975,5.116,8,507.04,2360.0,1,299.02185,177.36670999999998
mp-543598,Si2Zn2Rh,3,orthorhombic,37,Ceramic,-4.7446,0.005,1.507,0,139.15,45.32,0.3423,0.5,16,84.88,2800.0,1,121.666072,72.79964319999999
mp-589622,FZr2Au4,3,cubic,210,Semiconductor,-0.6381,0.1431,2.805,0,50.68,12.61,0.3891,5.106,4,253.69,1800.0,0,35.033102,18.977461199999997
mp-365899,As3Cd4,2,hexagonal,183,Metal,-0.549,0.0104,0.0,1,212.64,71.52,0.3447,2.972,6,230.28,760.0,1,192.345888,114.2187328
mp-506996,C3La2Ni2,3,monoclinic,14,Metal,-1.4408,0.0499,0.0,1,108.78,57.95,0.2637,6.296,2,166.41,1403.0,1,146.46283000000003,85.35929800000001
mp-450135,RhSr2,2,orthorhombic,21,Intermetallic,-1.589,0.1304,0.0,1,225.11,91.18,0.3306,8.163,4,403.39,904.0,0,242.64821600000002,142.3237296
mp-606955,Mo3Al4Sn2Ir,4,hexagonal,183,Halide,-1.9492,0.0179,4.189,0,117.36,57.33,0.3093,3.343,8,403.36,212.0,1,150.124338,88.7374028
mp-71948,Ba2S2Sr4,3,trigonal,152,Boride,-1.322,0.0678,1.282,0,419.74,218.99,0.2831,2.14,8,277.35,1453.0,0,561.9721380000001,336.32728280000003
mp-893408,Ar4Ga2Fe,3,cubic,217,Perovskite,-2.5349,0.0222,1.479,0,85.24,46.25,0.26,3.316,2,57.43,1251.0,1,116.55,68.60359999999999
mp-687019,MgK3Cu2,3,tetragonal,99,Metal,-1.735,0.0449,0.0,1,153.74,53.96,0.3445,10.664,16,2146.83,1692.0,1,145.09844,82.793464
mp-97463,MgHf2,2,tetragonal,100,Oxide,-3.6708,0.041,4.564,0,121.77,61.43,0.2734,5.634,24,1336.85,2674.0,1,156.449924,91.61635439999999
mp-95559,Mn2Ne2,2,cubic,208,Semiconductor,-2.9778,0.0058,2.254,0,80.61,26.69,0.3429,4.049,32,1336.39,1307.0,1,71.684002,41.390801200000006
mp-650808,Ne4Ru4,2,tetragonal,130,Sulfide,-1.3538,0.3468,1.953,0,84.14,17.79,0.4025,3.955,8,457.88,793.0,0,49.90095,28.35857
mp-278721,Ga4Os3ReIn2,4,cubic,210,Metal,-0.7926,0.1124,0.0,1,215.53,110.56,0.2832,11.194,32,6594.68,1506.0,0,283.741184,165.76711039999998
mp-32770,Cr2O3,2,monoclinic,6,Halide,-4.7164,0.0149,3.914,0,19.37,9.86,0.2843,5.443,8,627.24,1254.0,1,25.326396,13.018637599999998
mp-192320,La4K,2,hexagonal,194,Ceramic,-2.0272,0.0134,6.86,0,121.71,68.23,0.2714,4.946,6,418.29,2149.0,1,173.49524399999999,102.11874639999999
mp-463121,GaSc3,2,cubic,217,Semiconductor,-1.0024,0.2208,1.834,0,54.66,12.37,0.3945,3.497,6,211.45,1747.0,0,34.49993,19.301157999999997
mp-555914,Cl2Nb4,2,tetragonal,127,Oxide,-4.1792,0.0093,4.792,0,264.82,195.84,0.2221,5.865,4,328.3,1468.0,1,478.672128,284.85727679999997
mp-502717,Ti4,1,orthorhombic,40,Semiconductor,-1.5905,0.0256,2.021,0,27.24,10.02,0.339,4.589,12,611.6,2033.0,1,26.83356,14.264536
mp-187647,Ar3Re,2,hexagonal,179,Oxide,-0.5,0.0171,5.558,0,268.37,229.89,0.1683,6.219,6,403.8,2151.0,1,537.1609739999999,319.80898439999993
mp-80692,Cu4Br4Sb2V2,4,monoclinic,7,Metal,-1.3768,0.0045,0.0,1,41.19,16.66,0.3163,1.999,32,796.47,1024.0,1,43.859116,25.5158696
mp-459823,V2Cr3,2,tetragonal,91,Oxide,-1.8087,0.1076,7.433,0,125.46,59.14,0.2922,4.779,8,409.39,2454.0,0,152.841416,89.7932496
mp-345166,BiBr4In2,3,hexagonal,178,Phosphide,-1.6786,0.049,0.747,0,90.43,42.58,0.2979,2.155,8,105.24,545.0,1,110.529164,65.4554984
mp-885376,Be4Ar4,2,orthorhombic,48,Metal,-1.0836,0.0111,0.0,1,297.89,62.16,0.4038,8.959,6,769.43,1358.0,1,174.52041599999998,101.12864959999999
mp-146693,CrGe3,2,monoclinic,10,Carbide,-0.0635,0.2632,0.586,0,330.4,215.93,0.2278,6.458,16,884.53,1798.0,0,530.237708,315.5594248
mp-779958,Au2Sn2,2,tetragonal,133,Ceramic,-2.6411,0.0042,6.384,0,155.33,63.57,0.3093,4.871,12,233.18,1450.0,1,166.46440199999998,97.93024119999998
mp-103536,C4Ce3Mg,3,orthorhombic,57,Ceramic,-1.037,0.1254,6.593,0,86.33,30.01,0.3437,3.828,6,195.19,1698.0,0,80.648874,46.8581244
mp-185542,Be4SiLi3,3,hexagonal,178,Nitride,-0.7444,0.0001,3.852,0,194.82,109.65,0.2699,4.5,24,1515.7,1990.0,1,278.48907,165.293442
mp-406492,Sr2Re2,2,monoclinic,8,Metal,-1.44,0.084,0.0,1,123.79,91.09,0.2167,6.543,32,2708.08,2138.0,0,221.65840599999999,130.37784359999998
mp-421778,LaCa,2,monoclinic,3,Metal,-1.5085,0.0234,0.0,1,157.46,55.13,0.3375,7.619,8,822.09,1811.0,1,147.47275,85.43605
mp-805685,Ir2LaSb3He4,4,hexagonal,168,Silicate,-2.7221,0.0297,5.539,0,88.2,38.69,0.328,6.498,32,2301.33,1310.0,1,102.76064,59.05718399999999
mp-549309,Hf3Ar4,2,cubic,216,Metal,-0.7596,0.0621,0.0,1,229.39,146.64,0.2314,4.578,12,626.59,631.0,0,361.144992,214.8557952
mp-375602,Ge2,1,orthorhombic,44,Oxide,-4.2583,0.0369,3.297,0,247.75,95.09,0.3396,3.221,4,124.79,2438.0,1,254.765128,151.5706768
mp-310259,Fe3,1,hexagonal,190,Nitride,-0.8673,0.0361,0.966,0,194.95,88.19,0.3049,12.61,2,326.49,1744.0,1,230.15826199999998,133.05095719999997
mp-920737,OsP,2,triclinic,1,Chalcogenide,-0.8463,0.0144,0.103,0,72.56,64.7,0.184,1.531,6,110.63,1844.0,1,153.2096,91.31336
mp-832652,Ru3RhCa3,3,hexagonal,179,Carbide,-0.14,0.0087,1.979,0,324.22,181.39,0.2603,3.322,8,435.97,1840.0,1,457.21163399999995,272.99818039999997
mp-732289,Ca4Bi2,2,cubic,201,Alloy,-2.1254,0.0705,0.0,1,139.94,48.2,0.3464,6.533,8,736.44,340.0,0,129.79296000000002,75.26257600000001
mp-957214,Rh2Mg2,2,hexagonal,184,Ceramic,-3.4736,0.0025,8.597,0,117.68,94.49,0.1887,5.43,4,250.51,2332.0,1,224.640526,132.6123156
mp-197009,Re3Ga3,2,tetragonal,141,Metal,-2.1826,0.0115,0.0,1,138.92,94.34,0.2298,6.921,4,208.72,2064.0,1,232.038664,136.4547984
mp-481364,Ir2O3,2,monoclinic,14,Chalcogenide,-2.3272,0.0169,1.415,0,134.29,54.88,0.3294,6.242,4,248.15,938.0,1,145.91494400000002,85.0521664
mp-142729,TaSn2,2,orthorhombic,62,Perovskite,-1.5288,0.5712,1.414,0,52.11,45.09,0.1711,6.338,8,455.51,1108.0,0,105.60979800000001,60.8306788
mp-350003,Mn3NaCe3,3,orthorhombic,32,Nitride,-1.581,0.0215,1.758,0,214.82,71.95,0.3443,5.221,4,240.78,1921.0,1,193.44477,113.97846200000001
mp-150454,Pd4Pt4N4,3,tetragonal,78,Chalcogenide,-0.0192,0.0516,3.099,0,54.85,29.23,0.2633,3.593,24,841.27,1745.0,0,73.852518,42.8743108
mp-626442,ScLa2B,3,hexagonal,190,Metal,-1.2046,0.1813,0.0,1,210.6,98.78,0.3007,12.15,4,429.85,878.0,0,256.966292,149.31977519999998
mp-827402,BaTa4,2,monoclinic,4,Perovskite,-5.9165,0.0029,1.901,0,18.09,10.49,0.2571,6.045,12,1144.02,1540.0,1,26.373958,13.406374799999998
mp-811625,Ti3Cd4Sr2B3,4,hexagonal,185,Chalcogenide,-0.96,0.0138,0.779,0,2.0,1.01,0.3012,3.512,12,420.92,1111.0,1,2.6284240000000003,0.17225440000000014
mp-572291,Ga3LiMo2,3,cubic,207,Metal,-2.4686,0.0593,0.0,1,65.26,32.51,0.3114,8.481,4,483.9,1794.0,0,85.26722799999999,47.76793679999999
mp-485376,Se4Pt4,2,monoclinic,9,Ceramic,-5.2967,0.0009,5.237,0,66.21,66.1,0.1296,4.709,6,317.18,3749.0,1,149.33311999999998,87.71627199999999
mp-977818,P,1,orthorhombic,38,Ceramic,-0.5,0.0455,5.345,0,97.56,9.82,0.45,4.186,2,44.94,2324.0,1,28.478,15.4124
mp-647123,Mg3He,2,trigonal,164,Oxide,-5.9193,0.021,4.123,0,164.06,61.27,0.3229,2.22,16,541.38,1414.0,1,162.108166,96.3768996
mp-142109,Sr4Si4,2,trigonal,165,Perovskite,-3.2816,0.0255,3.353,0,104.17,95.03,0.1606,5.548,6,410.64,1362.0,1,220.583636,130.1309816
mp-782066,Ta3Zn3,2,hexagonal,178,Alloy,-0.887,0.1988,0.0,1,117.3,84.89,0.2101,8.525,12,1538.69,779.0,0,205.45077799999999,119.86046679999998
mp-626947,Se3Na4Cu,3,monoclinic,8,Intermetallic,-0.4572,0.0115,0.0,1,246.19,114.6,0.2877,8.475,12,582.85,935.0,1,295.14084,173.69450400000002
mp-201588,Ba3Zn3Ir,3,cubic,198,Intermetallic,-1.5879,0.0384,0.0,1,174.11,64.57,0.3301,14.392,6,1352.44,1180.0,1,171.769114,97.3046684
mp-899994,Co4K4,2,tetragonal,111,Semiconductor,-0.7817,0.0007,0.355,0,60.94,33.85,0.2621,2.895,6,327.93,651.0,1,85.44417,50.108501999999994
mp-893894,Si4Br4Pb4Sn2,4,hexagonal,170,Oxide,-2.8378,0.0197,2.797,0,207.14,89.02,0.3141,6.21,32,1859.91,3234.0,1,233.962364,137.8934184
mp-981490,Pb,1,cubic,220,Nitride,-1.6156,0.0406,0.389,0,270.91,144.94,0.2714,5.579,16,758.04,1238.0,1,368.55343199999993,218.90045919999997
mp-770009,Mg4Re3,2,monoclinic,14,Semiconductor,-1.3768,0.2912,0.486,0,97.55,24.92,0.3821,3.996,6,217.89,1984.0,0,68.883864,39.731918400000005
mp-815123,N2H4Ir3,3,trigonal,144,Ceramic,-1.1269,0.0862,5.607,0,188.63,101.58,0.2726,2.814,4,123.13,2482.0,0,258.54141599999997,153.99924959999998
mp-804372,PbCl2Sc3,3,cubic,221,Metal,-0.0551,0.1434,0.0,1,171.22,90.14,0.2757,11.939,12,1590.06,1965.0,0,229.98319600000002,133.21431760000002
mp-455988,Be4VBa3Y,4,triclinic,1,Halide,-2.6704,0.0005,5.338,0,67.9,43.18,0.2421,4.202,2,112.96,1330.0,1,107.26775599999999,62.679853599999994
mp-448478,V4,1,hexagonal,180,Ceramic,-4.5915,0.0228,4.361,0,265.15,253.89,0.1364,3.91,12,596.91,2565.0,1,577.041192,344.66071519999997
mp-900853,Ti3Ga2,2,cubic,212,Chalcogenide,-1.5705,0.1278,0.047,0,60.76,39.75,0.2274,4.604,12,726.04,246.0,0,97.5783,56.70538
mp-56732,Bi4,1,hexagonal,172,Halide,-3.4409,0.0292,12.0,0,98.37,49.58,0.2675,7.235,12,1190.78,1200.0,1,125.6853,72.51718
mp-163042,TeSc4,2,cubic,222,Halide,-2.6679,0.0078,5.253,0,48.28,7.61,0.4277,4.254,16,638.78,806.0,1,21.729594,11.3361564
mp-113829,Be4PbCo4H4,4,cubic,197,Silicate,-1.9867,0.0389,7.119,0,103.94,63.71,0.2408,6.116,4,408.03,932.0,1,158.102736,92.4152416
mp-341927,Sr3,1,trigonal,156,Carbide,-1.5376,0.003,0.072,0,182.87,96.71,0.2846,9.577,2,279.8,1457.0,1,248.46733199999997,145.24959919999998
mp-85780,H4Fe2Ag3,3,orthorhombic,23,Intermetallic,-1.8524,0.0468,0.0,1,218.57,118.68,0.2634,3.11,8,296.93,1167.0,1,299.880624,178.6843744
mp-559120,SrY3,2,hexagonal,178,Semiconductor,-0.8464,0.0394,1.011,0,59.71,22.65,0.3428,2.605,16,451.65,1321.0,1,60.82883999999999,35.45530399999999
mp-305416,Mn2As4Ir4,3,tetragonal,134,Alloy,-0.7321,0.1286,0.0,1,221.43,117.97,0.2878,5.663,24,1512.74,842.0,0,303.843532,180.0409192
mp-981820,As3PY2F4,4,tetragonal,94,Ceramic,-6.5,0.0203,4.857,0,176.44,89.2,0.2896,2.941,24,714.08,3044.0,1,230.06464000000003,136.86238400000002
mp-582177,He4Ir2,2,cubic,220,Chalcogenide,-1.4184,0.1353,2.089,0,81.48,40.45,0.2873,5.957,16,1603.01,1811.0,0,104.14257000000002,60.102742000000006
mp-309816,Zn3V2,2,hexagonal,175,Semiconductor,-0.1807,0.0714,1.313,0,34.98,18.73,0.2856,2.347,4,149.26,680.0,0,48.158576000000004,27.9563456
mp-141880,Cd4B3,2,triclinic,1,Chalcogenide,-1.2403,0.1156,0.691,0,145.53,61.87,0.3158,2.494,4,123.13,662.0,0,162.817092,96.69265519999999
mp-292249,Na2He3K3,3,hexagonal,175,Halide,-2.7223,0.0068,9.132,0,72.6,28.59,0.319,3.846,8,256.69,1280.0,1,75.42042,43.71385199999999
mp-359501,CPd2,2,tetragonal,82,Intermetallic,-0.1792,0.0136,0.0,1,67.47,22.09,0.351,0.604,16,134.84,1435.0,1,59.68718,35.570707999999996
mp-605686,SeOs2,2,cubic,220,Nitride,-1.6111,0.0724,0.625,0,173.06,91.06,0.2695,3.815,6,200.19,1917.0,0,231.20134000000002,137.194804
mp-179301,Zn2TiGa3,3,hexagonal,180,Chalcogenide,-1.0908,0.0315,0.417,0,154.6,107.71,0.2147,9.209,8,804.15,1398.0,1,261.670674,153.3188044
mp-574350,Mn4PdGa4,3,cubic,218,Halide,-2.9738,0.0112,2.393,0,88.51,71.56,0.1776,3.043,16,595.87,1639.0,1,168.538112,99.9056672
mp-586057,InAr,2,hexagonal,193,Ceramic,-1.0683,0.0996,8.108,0,273.97,136.34,0.2853,3.76,8,285.24,2245.0,0,350.475604,208.78136239999998
mp-470337,Cl2In4Sn4,3,trigonal,157,Perovskite,-3.6773,0.014,2.56,0,39.25,20.7,0.2663,3.921,8,394.6,1708.0,1,52.42482,29.886491999999997
mp-306933,PdSrGa2,3,monoclinic,15,Carbide,-0.7522,0.0797,0.159,0,79.58,31.83,0.3224,6.201,24,956.72,2153.0,0,84.183984,48.029990399999996
mp-489789,FeSr4,2,hexagonal,169,Ceramic,-2.8075,0.0001,4.077,0,163.18,102.09,0.2351,4.951,12,766.3,2584.0,1,252.18271800000002,149.3292308
mp-259292,Hf2Pt3,2,tetragonal,121,Perovskite,-2.3091,0.0108,3.028,0,163.98,94.92,0.2775,4.637,12,537.49,1010.0,1,242.52060000000003,143.65756
mp-365864,Cu4Pt4,2,tetragonal,120,Intermetallic,-0.2118,0.0784,0.0,1,110.95,58.45,0.2833,7.298,6,613.2,1907.0,0,150.01777,87.091462
mp-680048,Pt3Ga4,2,orthorhombic,40,Perovskite,-3.6717,0.0002,1.661,0,59.16,43.02,0.217,4.345,24,1264.41,955.0,1,104.71068000000001,61.088408
mp-400075,F3Se3,2,triclinic,2,Oxide,-0.5,0.0395,3.332,0,165.4,125.38,0.2179,5.281,4,246.51,2072.0,1,305.400604,181.12796239999997
mp-26568,In4Se3,2,monoclinic,10,Metal,-0.268,0.033,0.0,1,106.81,32.32,0.3588,0.686,6,52.08,1342.0,1,87.832832,52.4252992
mp-261746,Ga2Ta2,2,tetragonal,121,Phosphide,-1.1838,0.1062,0.554,0,105.96,39.79,0.3325,3.97,32,1202.97,200.0,0,106.04035,62.03621
mp-632823,Ba4Bi3,2,monoclinic,7,Metal,-0.125,0.0327,0.0,1,207.0,90.94,0.294,4.613,12,723.04,2236.0,1,235.35272,139.366432
